127.0.0.1 - - [26/Aug/2019:18:48:31 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:48:32 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:48:53 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:24 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:25 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:25 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:25 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:26 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:26 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:26 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:26 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:26 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:27 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:27 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:27 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:27 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:28 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:28 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:28 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:31 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2019:18:51:31 +0530] "GET /EmsProject/ApproveDeny.html HTTP/1.1" 304 -
